(Intercept),NC,C,NC:C
1.772073349283404,0.08556318236919239,-1.596173824579059,-0.32740190294994204
1.7292917580988079,NA,-1.432472873104088,NA
1.8148549404680001,NA,-1.75987477605403,NA
NA,0.3319,1e-4,0.0515
NA,0.2652,1e-4,0.0487
